,uri,type,description,summary,parent,start-date,end-date
15,/economy/governmentpublicsectorandtaxes,taxonomy_landing_page,"Government, public sector and taxes",How the relationship between UK public sector income (including taxes) and expenditure (both on investment and on the day-to-day running of government) lead to changes in deficit and debt.,/economy,,
16,/economy/grossdomesticproductgdp,product_page,Gross Domestic Product (GDP),"Preliminary, second and final estimates of GDP released over a quarter as more data becomes available. The final estimate is published in the Quarterly National Accounts. GDP is the main measure of UK economic growth based on the value of goods and services produced during a given period. ",/economy,,
17,/economy/grossvalueaddedgva,product_page,Gross Value Added (GVA),"Regional gross value added using production (GVA(P)) and income (GVA(I)) approaches. Regional gross value added is the value generated by any unit engaged in the production of goods and services. GVA per head is a useful way of comparing regions of different sizes. It is not, however, a measure of regional productivity.",/economy,,
18,/economy/inflationandpriceindices,product_page,Inflation and price indices,"The rate of increase in prices for goods and services. Measures of inflation and prices include consumer price inflation, producer price inflation, the house price index, index of private housing rental prices, and construction output price indices. ",/economy,,
19,/economy/investmentspensionsandtrusts,product_page,"Investments, pensions and trusts","Net flows of investment into the UK, the number of people who hold pensions of different types, and investments made by various types of trusts. ",/economy,,
20,/economy/nationalaccounts,taxonomy_landing_page,National accounts,"Core accounts for the UK economy as a whole; individual sectors (sector accounts); accounts for the regions, subregions and local areas of the UK; and satellite accounts that cover activities linked to the economy. The national accounts framework brings units and transactions together to provide a simple and understandable description of production, income, consumption, accumulation and wealth.",/economy,,
21,/economy/regionalaccounts,taxonomy_landing_page,Regional accounts,"Accounts for regions, sub-regions and local areas of the UK. These accounts allow comparisons between regions and against a UK average. Statistics include regional gross value added (GVA) and figures on regional gross disposable household income (GDHI).",/economy,,
22,/employmentandlabourmarket/peopleinwork,taxonomy_landing_page,People in work,"Employment data covering employment rates, hours of work and earnings.",/employmentandlabourmarket,,
23,/employmentandlabourmarket/peoplenotinwork,taxonomy_landing_page,People not in work,"Unemployed and economically inactive people in the UK including claimants of out-of-work benefits and the number of redundancies.
",/employmentandlabourmarket,,
24,/peoplepopulationandcommunity/birthsdeathsandmarriages,taxonomy_landing_page,"Births, deaths and marriages","Events affecting the UK population and people including conceptions and fertility rates, maternities, live births and stillbirths, marriages, divorces, civil partnerships, cohabitation, family composition, life expectancies and deaths. Life event statistics tell us about the size and condition of the population.",/peoplepopulationandcommunity,,
25,/peoplepopulationandcommunity/crimeandjustice,product_page,Crime and justice,Figures on crime levels and trends for England and Wales based primarily on two sets of statistics: the Crime Survey for England and Wales (CSEW) and police recorded crime data.,/peoplepopulationandcommunity,,
26,/peoplepopulationandcommunity/culturalidentity,taxonomy_landing_page,Cultural identity,"How people in the UK see themselves today in terms of ethnicity, sexuality, religion and language, and how this has changed over time. We use a diverse range of sources for this data.",/peoplepopulationandcommunity,,
27,/peoplepopulationandcommunity/educationandchildcare,product_page,Education and childcare,"Early years childcare, school and college education, and higher education and adult learning, including qualifications, personnel, and safety and well-being. ",/peoplepopulationandcommunity,,
28,/peoplepopulationandcommunity/elections,taxonomy_landing_page,Elections,"Analysis of the number of people registered to vote, including comparisons over time and between the UK constituent countries.",/peoplepopulationandcommunity,,
29,/peoplepopulationandcommunity/healthandsocialcare,taxonomy_landing_page,Health and social care,"Life expectancy and the impact of factors such as occupation, illness and drug misuse. We collect these statistics from registrations and surveys. ",/peoplepopulationandcommunity,,
30,/peoplepopulationandcommunity/householdcharacteristics,taxonomy_landing_page,Household characteristics,"The composition of households, including those who live alone, overcrowding and under-occupation, as well as internet and social media usage by household.",/peoplepopulationandcommunity,,
31,/peoplepopulationandcommunity/housing,product_page,Housing,"Property price, private rent and household survey and census statistics, used by government and other organisations for the creation and fulfilment of housing policy in the UK.",/peoplepopulationandcommunity,,
32,/peoplepopulationandcommunity/leisureandtourism,product_page,Leisure and tourism,"Visits and visitors to the UK, the reasons for visiting and the amount of money they spent here. Also UK residents travelling abroad, their reasons for travel and the amount of money they spent. The statistics on UK residents travelling abroad are an informal indicator of living standards.",/peoplepopulationandcommunity,,
33,/peoplepopulationandcommunity/personalandhouseholdfinances,taxonomy_landing_page,Personal and household finances,"Income and earnings, spending and saving, and wealth and debt. These statistics help build a picture of how living standards and inequality have changed. ",/peoplepopulationandcommunity,,
34,/peoplepopulationandcommunity/populationandmigration,taxonomy_landing_page,Population and migration,"Size, age, gender and geographic distribution of the UK population, and changes in the UK population and the factors driving these changes. These statistics have a wide range of uses. Central government, local government and the health sector use them for planning, resource allocation and managing the economy. They are also used by people such as market researchers and academics.",/peoplepopulationandcommunity,,
35,/peoplepopulationandcommunity/wellbeing,product_page,Well-being,"Societal and personal well-being in the UK looking beyond what we produce, to areas such as health, relationships, education and skills, what we do, where we live, our finances and the environment. This data comes from a variety of sources and much of the analysis is new.",/peoplepopulationandcommunity,,
36,/businessindustryandtrade/business/activitysizeandlocation,product_page,"Activity, size and location","UK businesses broken down by location, industry, legal status and employment, and UK enterprise levels measured by turnover.",/businessindustryandtrade/business,,
37,/businessindustryandtrade/business/businessinnovation,product_page,Business innovation,"Research and development in the UK carried out or funded by business enterprises, higher education, government (including research councils) and private non-profit organisations.",/businessindustryandtrade/business,,
38,/businessindustryandtrade/business/businessservices,product_page,Business services,"Size and growth of the UK non-financial business economy as measured by the Annual Business Survey (ABS), and the value of e-commerce and the adoption and use of information and communication technologies (ICTs) by UK businesses.",/businessindustryandtrade/business,,
39,/businessindustryandtrade/changestobusiness/bankruptcyinsolvency,product_page,Bankruptcy/insolvency,"UK business insolvencies, bankruptcies and other forms of debt relief.",/businessindustryandtrade/changestobusiness,,
40,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates,product_page,"Business births, deaths and survival rates","Demography of UK businesses: active businesses, new registrations for VAT and PAYE (births), cessation of trading (deaths), and duration of trading (survival rates). ",/businessindustryandtrade/changestobusiness,,
41,/businessindustryandtrade/changestobusiness/mergersandacquisitions,product_page,Mergers and acquisitions,"Business mergers and acquisitions involving UK companies, including de-mergers and disposals, where the transaction value is å£1 million or more.",/businessindustryandtrade/changestobusiness,,
42,/economy/economicoutputandproductivity/output,product_page,Output,"Economic output, including manufacturing and production (Index of Production) and services (Index of Services).",/economy/economicoutputandproductivity,,
43,/economy/economicoutputandproductivity/productivitymeasures,product_page,Productivity measures,"Economic productivity measures, including output per hour, output per job and output per worker for the whole economy and a range of industries; productivity in the public sector; and international comparisons of productivity across the G7 nations.",/economy/economicoutputandproductivity,,
44,/economy/economicoutputandproductivity/publicservicesproductivity,product_page,Public services productivity,"Output, inputs and productivity estimates for public services in the UK, including estimates of healthcare and education productivity.",/economy/economicoutputandproductivity,,
45,/economy/governmentpublicsectorandtaxes/localgovernmentfinance,product_page,Local government finance,"Spending on science, engineering and technology by central government departments, research councils and higher education funding councils (HEFCs).",/economy/governmentpublicsectorandtaxes,,
46,/economy/governmentpublicsectorandtaxes/publicsectorfinance,product_page,Public sector finance,How the relationship between UK public sector monthly income and expenditure leads to changes in deficit and debt.,/economy/governmentpublicsectorandtaxes,,
47,/economy/governmentpublicsectorandtaxes/publicspending,product_page,Public spending,"UK government debt and deficit as reported to the European Commission each January, April, July and October. ",/economy/governmentpublicsectorandtaxes,,
48,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure,product_page,Research and development expenditure,"Research and development in the UK carried out or funded by business enterprises, higher education, government (including research councils) and private non-profit organisations.",/economy/governmentpublicsectorandtaxes,,
49,/economy/governmentpublicsectorandtaxes/taxesandrevenue,product_page,Taxes and revenue,The effect of taxes and benefits on UK household‰Ûªs income. ,/economy/governmentpublicsectorandtaxes,,
50,/economy/nationalaccounts/balanceofpayments,product_page,Balance of payments,All economic transactions between residents of the UK and the rest of the world.,/economy/nationalaccounts,,
51,/economy/nationalaccounts/satelliteaccounts,product_page,Satellite accounts,"Accounts that cover activities linked to the economy but not part of the core UK national accounts including environmental accounts, tourism satellite account, and household satellite accounts.",/economy/nationalaccounts,,
52,/economy/nationalaccounts/supplyandusetables,product_page,Supply and use tables,"Balances showing the relationship between components of value added, industry inputs and outputs, and product supply and demand. These tables are a source for the data underlying Gross Domestic Product. ",/economy/nationalaccounts,,
53,/economy/nationalaccounts/uksectoraccounts,product_page,UK sector accounts,"Transactions of particular groups of institutions (sectors) within the UK economy, showing how the income from production is distributed and redistributed and how savings are used to add wealth through investment in physical or financial assets.",/economy/nationalaccounts,,
54,/economy/regionalaccounts/grossdisposablehouseholdincome,product_page,Gross disposable household income,"The amount of money that that all of the individuals in the household sector have available for spending or saving after income distribution measures (for example, taxes, social contributions and benefits) have taken effect. GDHI does not provide measures relating to actual households or family units. The figures cover regions, sub-regions and local areas of the UK. ",/economy/regionalaccounts,,
55,/employmentandlabourmarket/peopleinwork/earningsandworkinghours,product_page,Earnings and working hours,"The level and growth rate of average weekly earnings (regular and bonus pay), and average weekly hours worked by full-time and part-time workers.",/employmentandlabourmarket/peopleinwork,,
56,/employmentandlabourmarket/peopleinwork/employmentandemployeetypes,product_page,Employment and employee types,"Employment rates from the Labour Force Survey (LFS), broken down by age and sex. Employment rates show the number of people in employment as a proportion of the population. Other figures include the number of people in employment (also from the LFS) and vacancies (from the Vacancies Survey).",/employmentandlabourmarket/peopleinwork,,
57,/employmentandlabourmarket/peopleinwork/labourproductivity,product_page,Labour productivity,"The efficiency of the UK workforce calculated as output per worker, output per job and output per hour. Labour productivity is an important factor in determining the productive potential of the economy. Countries with strong labour productivity growth tend to benefit from high rates of growth and low inflation.",/employmentandlabourmarket/peopleinwork,,
58,/employmentandlabourmarket/peopleinwork/publicsectorpersonnel,product_page,Public sector personnel,"People employed in central government, local government and public corporations, including those with a second job in the public sector. These statistics do not cover self-employed people, contract workers or agency workers.",/employmentandlabourmarket/peopleinwork,,
59,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions,product_page,Workplace disputes and working conditions,Stoppages of work because of disputes between employers and employees. These include strikes and lock-outs (where an employer stops employees from entering a place of work). Figures include the number of days lost to workplace disputes in the public and private sectors and the number of workers involved.,/employmentandlabourmarket/peopleinwork,,
60,/employmentandlabourmarket/peopleinwork/workplacepensions,product_page,Workplace pensions,"Individuals' pensions linked to their workplace, including defined ambition (DA), defined benefit (DB) and defined contribution (DC) schemes. ",/employmentandlabourmarket/peopleinwork,,
61,/employmentandlabourmarket/peoplenotinwork/economicinactivity,product_page,Economic inactivity,People not in employment who have not been seeking work within the last 4 weeks and/or are unable to start work within the next 2 weeks.,/employmentandlabourmarket/peoplenotinwork,,
62,/employmentandlabourmarket/peoplenotinwork/outofworkbenefits,product_page,Out of work benefits,"Claimants of unemployment related benefits including Employment and Support Allowance and other incapacity benefits, and Income Support and Pension Credit. 
",/employmentandlabourmarket/peoplenotinwork,,
63,/employmentandlabourmarket/peoplenotinwork/redundancies,product_page,Redundancies,People who have been made redundant or have taken voluntary redundancy.,/employmentandlabourmarket/peoplenotinwork,,
64,/employmentandlabourmarket/peoplenotinwork/unemployment,product_page,Unemployment,The level and rate of UK unemployment measured by the Labour Force Survey (LFS) using a definition of unemployment specified by the International Labour Organisation. Unemployed people as those without a job who have been actively seeking work in the past 4 weeks and are available to start work in the next 2 weeks. It also includes those who are out of work but have found a job and are waiting to start it in the next 2 weeks. ,/employmentandlabourmarket/peoplenotinwork,,
65,/peoplepopulationandcommunity/birthsdeathsandmarriages/adoption,product_page,Adoption,Adoption registrations including the age and gender of the children being adopted and whether they were born inside marriage.,/peoplepopulationandcommunity/birthsdeathsandmarriages,,
66,/peoplepopulationandcommunity/birthsdeathsandmarriages/ageing,product_page,Ageing,"Population ageing and the lives of older people, including ageing indicators such as estimates of the very old (90+ by age and sex), median age and sex ratios at older ages at national and local levels.",/peoplepopulationandcommunity/birthsdeathsandmarriages,,
67,/peoplepopulationandcommunity/birthsdeathsandmarriages/conceptionandfertilityrates,product_page,Conception and fertility rates,"Conceptions based on births and abortions data analysed by age and area; and childbearing of women born in different years, average family size and women who remain childless.",/peoplepopulationandcommunity/birthsdeathsandmarriages,,
68,/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths,product_page,Deaths,"Deaths broken down by age, sex, area and cause of death sourced from the deaths register.",/peoplepopulationandcommunity/birthsdeathsandmarriages,,
69,/peoplepopulationandcommunity/birthsdeathsandmarriages/divorce,product_page,Divorce,"Divorces taking place covering dissolutions and annulments of marriage by previous marital status, sex and age of persons divorcing, children of  divorced couples, fact proven at divorce and to whom granted.",/peoplepopulationandcommunity/birthsdeathsandmarriages,,
70,/peoplepopulationandcommunity/birthsdeathsandmarriages/families,product_page,Families,"The composition of families and households, including data on lone parents, married couples and civil partnership families. Household size and household types, including people living alone, multi-family households and households where members are all unrelated are also provided.",/peoplepopulationandcommunity/birthsdeathsandmarriages,,
71,/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies,product_page,Life expectancies,"How long, on average, people can expect to live using estimates of the population and the number of deaths.",/peoplepopulationandcommunity/birthsdeathsandmarriages,,
72,/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths,product_page,Live births,"Live births by age of mother/father, sex, marital status, country of birth, socio-economic status, previous children and area.",/peoplepopulationandcommunity/birthsdeathsandmarriages,,
73,/peoplepopulationandcommunity/birthsdeathsandmarriages/marriagecohabitationandcivilpartnerships,product_page,"Marriage, cohabitation and civil partnerships","Marriages formed, civil partnerships formed and dissolved, and estimates of the population by marital status and living arrangements.",/peoplepopulationandcommunity/birthsdeathsandmarriages,,
74,/peoplepopulationandcommunity/birthsdeathsandmarriages/maternities,product_page,Maternities,"Women having babies (including stillbirths). A maternity is a pregnancy resulting in the birth of 1 or more children, therefore, these figures are not the same as the number of babies born.",/peoplepopulationandcommunity/birthsdeathsandmarriages,,
75,/peoplepopulationandcommunity/birthsdeathsandmarriages/stillbirths,product_page,Stillbirths,"Stillbirths containing data on cause of death and sex, plus analyses by some of the key risk factors affecting stillbirths, including age of mother and birthweight.",/peoplepopulationandcommunity/birthsdeathsandmarriages,,
76,/peoplepopulationandcommunity/culturalidentity/ethnicity,product_page,Ethnicity,"Analyses include ethnic identities among the non-UK born population in England and Wales, labour market participation, trends in general health and unpaid care by ethnic group, and inter-ethnic relationships. ",/peoplepopulationandcommunity/culturalidentity,,
77,/peoplepopulationandcommunity/culturalidentity/language,product_page,Language,The proportion of adults using English as their main language and a breakdown of other languages used in the UK.,/peoplepopulationandcommunity/culturalidentity,,
78,/peoplepopulationandcommunity/culturalidentity/religion,product_page,Religion,"Analyses include people affiliating with a religion in the 2011 census, and religions among the non-UK born population in England and Wales.",/peoplepopulationandcommunity/culturalidentity,,
79,/peoplepopulationandcommunity/culturalidentity/sexuality,product_page,Sexuality,"Analyses include sexual identity in the UK by gender, region and age group, sourced from the Integrated Household Survey.",/peoplepopulationandcommunity/culturalidentity,,
80,/peoplepopulationandcommunity/elections/electoralregistration,product_page,Electoral registration,"Annual counts of people listed on electoral registers for the UK and its constituent countries, local government areas and parliamentary constituencies. These figures are based on people registered to vote not people eligible to vote. ",/peoplepopulationandcommunity/elections,,
81,/peoplepopulationandcommunity/elections/generalelections,product_page,General elections,"Forms of civic engagement, including satisfaction with government and democracy, interest in politics and participation in politics.",/peoplepopulationandcommunity/elections,,
82,/peoplepopulationandcommunity/elections/localgovernmentelections,product_page,Local government elections,"Individuals‰Ûª engagement with local government, including involvement in decision-making. ",/peoplepopulationandcommunity/elections,,
83,/peoplepopulationandcommunity/healthandsocialcare/causesofdeath,product_page,Causes of death,"Annual mortality statistics on deaths registered by age group, sex and underlying cause of death, and by other information collected at the time of registration.",/peoplepopulationandcommunity/healthandsocialcare,,
84,/peoplepopulationandcommunity/healthandsocialcare/childhealth,product_page,Child health,"Children's health and well-being including childhood, infant and perinatal mortality; unexplained deaths in infancy; childhood cancer survival; and children's well-being.",/peoplepopulationandcommunity/healthandsocialcare,,
85,/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases,product_page,Conditions and diseases,"Health conditions and diseases including newly diagnosed cancers, deaths from MRSA and deaths involving clostridium difficile (bacterial infection).",/peoplepopulationandcommunity/healthandsocialcare,,
86,/peoplepopulationandcommunity/healthandsocialcare/disability,product_page,Disability,People with disabilities and how disability affects day-to-day activities.,/peoplepopulationandcommunity/healthandsocialcare,,
87,/peoplepopulationandcommunity/healthandsocialcare/drugusealcoholandsmoking,product_page,"Drug use, alcohol and smoking","Smoking and drinking habits in Great Britain, deaths related to drug poisoning  and drug misuse, and deaths caused by diseases known to be related to alcohol consumption.",/peoplepopulationandcommunity/healthandsocialcare,,
88,/peoplepopulationandcommunity/healthandsocialcare/healthandlifeexpectancies,product_page,Health and life expectancies,"Comparisons and inequalities in healthy life expectancies (HLE), disability-free life expectancies (DFLE) and life expectancies (LE).",/peoplepopulationandcommunity/healthandsocialcare,,
89,/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing,product_page,Health and well-being,"Analyses of social and economic data from government and other organisations to paint a picture of UK society and how it changes, including comparisons with other countries. ",/peoplepopulationandcommunity/healthandsocialcare,,
90,/peoplepopulationandcommunity/healthandsocialcare/healthcaresystem,product_page,Health care system,"Expenditure on both private and public health care systems in the UK, as well as the results for the National Survey of Bereaved People (VOICES). ",/peoplepopulationandcommunity/healthandsocialcare,,
91,/peoplepopulationandcommunity/healthandsocialcare/healthinequalities,product_page,Health inequalities,Current patterns and trends in ill health and death by measures of socio-economic status.,/peoplepopulationandcommunity/healthandsocialcare,,
92,/peoplepopulationandcommunity/healthandsocialcare/mentalhealth,product_page,Mental health,"Mental health of children, adolescents and adults.",/peoplepopulationandcommunity/healthandsocialcare,,
93,/peoplepopulationandcommunity/healthandsocialcare/socialcare,product_page,Social care,"People who require social care, as well as those who work in social care, performance levels, and its financial cost. ",/peoplepopulationandcommunity/healthandsocialcare,,
94,/peoplepopulationandcommunity/householdcharacteristics/homeinternetandsocialmediausage,product_page,Home internet and social media usage,"Use of the internet and social media and how long we use it for. These data include the number of people who have used the internet, those who use the internet frequently and those who have never used the internet. Most of these statistics are broken down by age and gender.",/peoplepopulationandcommunity/householdcharacteristics,,
95,/peoplepopulationandcommunity/personalandhouseholdfinances/debt,product_page,Debt,"Debt of UK households, broken down by financial debt and property debt.",/peoplepopulationandcommunity/personalandhouseholdfinances,,
96,/peoplepopulationandcommunity/personalandhouseholdfinances/expenditure,product_page,Expenditure,"Spending patterns of UK households, with findings taken from the Living Costs and Food Survey (LCF).",/peoplepopulationandcommunity/personalandhouseholdfinances,,
97,/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth,product_page,Income and wealth,UK household income and wealth.,/peoplepopulationandcommunity/personalandhouseholdfinances,,
98,/peoplepopulationandcommunity/personalandhouseholdfinances/pensionssavingsandinvestments,product_page,"Pensions, savings and investments","State, private, occupational and workplace pensions, including pension trends that draws together data from other government departments and organisations.  ",/peoplepopulationandcommunity/personalandhouseholdfinances,,
99,/peoplepopulationandcommunity/populationandmigration/internationalmigration,product_page,International migration,"People moving into and out of the UK, long term migration, short term migration, and non-UK residents data providing a picture of those entering and leaving the UK, covering all lengths of stay. ",/peoplepopulationandcommunity/populationandmigration,,
100,/peoplepopulationandcommunity/populationandmigration/migrationwithintheuk,product_page,Migration within the UK,"Residential moves between different geographic areas within the UK sourced from the NHS Patient Register, the NHS Central Register (NHSCR) and the Higher Education Statistics Agency (HESA). ",/peoplepopulationandcommunity/populationandmigration,,
101,/peoplepopulationandcommunity/populationandmigration/populationestimates,product_page,Population estimates,"Annual population estimates for the UK and its constituent countries, the regions and counties of England, and local authorities and their equivalents. Estimates for lower and middle layer Super Output Areas, Westminster parliamentary constituencies, electoral wards and National Parks in England and Wales and clinical commissioning groups in England.",/peoplepopulationandcommunity/populationandmigration,,
102,/peoplepopulationandcommunity/populationandmigration/populationprojections,product_page,Population projections,"Population projections provide an indication of the future size and age structure of the population based on mid-year population estimates and a set of assumptions of future fertility, mortality and migration. Available for the UK and its constituent countries as national population projections and for the regions, local authorities and clinical commissioning groups in England as subnational population projections. These projections are widely used for resource allocation and planning.",/peoplepopulationandcommunity/populationandmigration,,
