id,uri,type,title,summary,metaDescription,contactEmail,contactName,contactTelephone
bulletin_13, /economy /environmentalaccounts /bulletins /ukenvironmentalaccounts /latest,bulletin,UK environmental accounts,"Satellite accounts to the main UK National Accounts measuring the contribution of the environment to the economy, the impact of economic activity on the environment, and society's response to environmental issues.","Measures the contribution of the environment to the economy, the impacts the economy has on the environment, and society's responses to environmental issues.",geeta.kerai @ons.gsi.gov.uk,Geeta Kerai,+44 (0)1633 651815
bulletin_14, /economy /grossdomesticproductgdp /bulletins /grossdomesticproductpreliminaryestimate /aprtojune2016,bulletin,"Gross domestic product, preliminary estimate",Preliminary estimate for gross domestic product (GDP) containing constant price gross value added (GVA) data for the UK. Data are available by industrial sector.,"The first estimate of quarterly GDP based on less data but produced earlier, providing a timely indicator of economic growth.",ios.enquiries @ons.gsi.gov.uk,Robert Smith,+44 (0)1633 651618
bulletin_15, /economy /grossdomesticproductgdp /bulletins /quarterlynationalaccounts /quarter1jantomar2016,bulletin,Quarterly National Accounts,"A detailed breakdown of the components of GDP as well as key sector accounts aggregates, including the third estimate of quarterly GDP.","A detailed breakdown of the components of GDP as well as key sector accounts aggregates, including the third estimate of quarterly GDP.",gdp@ons.gsi.gov.uk,Matthew Hughes,+44 (0)1633 45 5827
bulletin_16, /economy /grossdomesticproductgdp /bulletins /secondestimateofgdp /quarter1jantomar2016,bulletin,Second estimate of GDP,"The second quarterly estimate of GDP based on additional data but produced later than the preliminary estimate, providing a more precise indication of economic growth.","Estimates of the key components of GDP from the output, income and expenditure approaches",gdp@ons.gsi.gov.uk,Matthew Hughes,+44 (0)1633 455827
bulletin_17, /economy /grossdomesticproductgdp /bulletins /businessinvestment /quarter1jantomar2016revisedresults,bulletin,Business Investment,"Investment trends for businesses, including spending on transport equipment, machinery, buildings and intangible assets.",Estimates of short-term indicators of investment in assets. Covers business investment and also asset breakdowns of total gross fixed capital formation.,gcf@ons.gsi.gov.uk,Alison McCrae,+44 (0)1633 455250
bulletin_18, /economy /nationalaccounts /satelliteaccounts /bulletins /consumertrends /quarter1jantomar2016,bulletin,Consumer trends,Spending on goods and services by UK households including household final consumption expenditure (HHFCE) as a measure of economic growth.,"Household Final Consumption Expenditure (HHFCE) for the UK, the main tables include all expenditure on goods and services by members of UK households.",consumer.trends @ons.gsi.gov.uk,Gareth Powell,+44 (0)1633 455969
bulletin_19, /businessindustryandtrade /constructionindustry /bulletins /outputintheconstructionindustry /acomparisonofconstructionoutputandmarketcipsdata,bulletin,Output in the Construction Industry,"A short-term measure of output by the private sector and public corporations in the construction industry in Great Britain, including quartely data.","A short-term measure of output by the private sector and public corporations n the construction industry in Great Britain, including quartely data.",kate.davies @ons.gsi.gov.uk,Kate Davies,+44 (0)1633 455617
bulletin_20, /businessindustryandtrade /retailindustry /bulletins /retailsales /june2016,bulletin,Retail sales in Great Britain,"Changes in the volume and value of sales of goods by retail businesses in Great Britain, providing a timely indicator of economic performance and the strength of consumer spending.","Retail sales is a monthly estimate of the quantity bought and amount spent in the retail industry, covering 95% of all known turnover in Great Britain.",retail.sales.enquiries @ons.gsi.gov.uk,Melanie Richard ,+44 (0)1633 455602
bulletin_21, /economy /economicoutputandproductivity /output /bulletins /indexofproduction /may2016,bulletin,UK index of production,"Measures the volume of production at base year prices for the manufacturing, mining & quarrying, energy supply and water & waste management industries.","Volume of production at base year prices for the manufacturing, mining and quarrying and energy supply industries.",indexofproduction @ons.gsi.gov.uk,Alaa Al-Hamad,+44 (0) 1633 455648
bulletin_22, /economy /economicoutputandproductivity /output /bulletins /indexofservices /may2016,bulletin,Index of Services,"Monthly movements in gross value added for the service industries, which overall account for around 79% of UK gross domestic product (GDP)","Monthly movements in gross value added for the service industries, which overall account for around 78% of UK gross domestic product (GDP)",ios.enquiries @ons.gsi.gov.uk ,Robert S Smith,+44 (0)1633 651618
bulletin_23, /economy /grossvalueaddedgva /bulletins /regionalgrossvalueaddedincomeapproach /december2015,bulletin,Regional Gross Value Added (Income Approach),"The primary measure of regional GVA (the increase in the value of the economy due to the production of goods and services) at 3 geographical levels (region, sub-region and local area).","The primary measure of regional GVA (the increase in the value of the economy due to the production of goods and services) at 3 geographical levels (region, sub-region and local area).",trevor.fenton @ons.gsi.gov.uk ,Trevor Fenton,+44 (0)1633 456083
bulletin_24, /economy /grossvalueaddedgva /bulletins /regionalgrossvalueaddedproductionapproach /1998to2013,bulletin,Regional Gross Value Added (Production Approach),An experimental measure of regional GVA (the increase in the value of the economy due to the production of goods and services).,Experimental statistics showing annual estimates of regional GVA(P) released on 16th December 2015.,trevor.fenton @ons.gsi.gov.uk,Trevor Fenton,+44 (0)1633 456083
bulletin_25, /economy /grossdomesticproductgdp /bulletins /grossdomesticproductpreliminaryestimate /aprtojune2016,bulletin,"Gross domestic product, preliminary estimate",Preliminary estimate for gross domestic product (GDP) containing constant price gross value added (GVA) data for the UK. Data are available by industrial sector.,"The first estimate of quarterly GDP based on less data but produced earlier, providing a timely indicator of economic growth.",ios.enquiries @ons.gsi.gov.uk,Robert Smith,+44 (0)1633 651618
bulletin_26, /businessindustryandtrade /business /businessservices /bulletins /uknonfinancialbusinesseconomy /2014regionalresultsannualbusinesssurvey,bulletin,UK non-financial business economy,Size and growth of the UK non-financial sectors within the 12 NUTS 1 regions of the UK as estimated by the Annual Business Survey. ,Size and growth within the UK non-financial sectors as measured by the Annual Business Survey. ,abs@ons.gsi.gov.uk,Jon Gough ,+44 (0)1633 456720 
bulletin_27, /economy /inflationandpriceindices /bulletins /consumerpriceinflation /june2016,bulletin,Consumer price inflation,"Price indices, percentage changes and weights for the different measures of consumer price inflation.","Price indices, percentage changes and weights for the different measures of consumer price inflation.",cpi@ons.gsi.gov.uk,Philip Gooding,+44 (0)1633 456900
bulletin_28, /economy /inflationandpriceindices /bulletins /producerpriceinflation /june2016,bulletin,UK producer price inflation,Changes in the prices of goods bought and sold by UK manufacturers including price indices of materials and fuels purchased (input prices) and factory gate prices (output prices).,Input and output index series. Contains producer price indices of materials and fuels purchased and output of manufacturing industry by broad sector.,ppi@ons.gsi.gov.uk,James Wells,+44 (0) 1633 455582 
bulletin_29, /economy /inflationandpriceindices /bulletins /housepriceindex /may2016,bulletin,House Price Index," Monthly house price inflation, calculated using data from Land Registry, Registers of Scotland and Land and Property Services Northern Ireland.",Mix-adjusted average house prices and house price indices for the UK and its component countries and regions.,hpi@ons.gsi.gov.uk ,Rhys Lewis,+44 (0)1633 456400
bulletin_30, /economy /inflationandpriceindices /bulletins /indexofprivatehousingrentalprices /june2016,bulletin,"Index of private housing rental prices (IPHRP) in Great Britain, results",An experimental price index tracking the prices paid for renting property from private landlords in Great Britain.,An experimental price index tracking the prices paid for renting property from private landlords in Great Britain.,hpi@ons.gsi.gov.uk,Rhys Lewis,+44 (0)1633 456400
bulletin_31, /economy /inflationandpriceindices /bulletins /servicesproducerpriceindices /quarter1jantomar2016,bulletin,Services Producer Price Indices,"Quarterly estimates of price changes for services provided by UK businesses to other UK businesses and government, for a limited range of service industries.","Quarterly estimates of price changes for services provided by UK businesses to other UK businesses and government, for a limited range of service industries.",sppi@ons.gsi.gov.uk,James Wells,+44 (0)1633 455582
bulletin_32, /economy /investmentspensionsandtrusts /bulletins /mq5investmentbyinsurancecompaniespensionfundsandtrusts /jantomar2016,bulletin,"Investment by insurance companies, pension funds and trusts in the UK (MQ5)","Investment choices of financial institutions based on financial transactions (investments and disinvestments), including balance sheet data for short-term assets and liabilities, and income and expenditure data.","Quarterly net investment, balance sheet and income and expenditure data. All data are reported on a current price basis (effects of price changes included).",Financial.Inquiries @ons.gsi.gov.uk ,Fred Norris,+44 (0)1633 456109
bulletin_33, /economy /investmentspensionsandtrusts /bulletins /ownershipofukquotedshares /latest,bulletin,Ownership of UK Quoted Shares,"The value of ordinary shares held in UK incorporated companies listed on the London Stock Exchange by sector of the owner, with a country breakdown for shares owned outside the UK.",The latest Share Ownership report gives details of beneficial ownership of UK listed companies as at 31 December. This is provided in terms of National Accounts classifications.,share.ownership @ons.gsi.gov.uk,Eric Crane ,+44 (0)1633 455092
bulletin_34, /peoplepopulationandcommunity /personalandhouseholdfinances /pensionssavingsandinvestments /bulletins /occupationalpensionschemessurvey /latest,bulletin,Occupational Pension Schemes Survey,The nature of occupational pension provision in the UK providing summary data on membership of schemes and contributions paid.,Membership and average contribution rates are the key estimates from the Occupational Pension Schemes Survey 2014. The nature of benefits provided under occupational pension schemes are also included in this release.,opss@ons.gsi.gov.uk,Hazel Clarke or Fred Norris,+44 (0)1633 455633
bulletin_35, /peoplepopulationandcommunity /crimeandjustice /bulletins /crimeinenglandandwales /yearendingmar2016,bulletin,Crime in England and Wales,"Crime against households and adults, also including data on crime experienced by children, and crimes against businesses and society.","Crime against households and adults, also including data on crime experienced by children, and crimes against businesses and society.",crimestatistics @ons.gsi.gov.uk,John Flatley,+44 (0)20 7592 8695
bulletin_36, /peoplepopulationandcommunity /crimeandjustice /bulletins /focusonpropertycrime /2014to2015,bulletin,Focus on property crime,Analyses on property crime from the 2014 to 2015 Crime Survey for England and Wales and crimes recorded by police,Analyses on property crime from the 2014 to 2015 Crime Survey for England and Wales and crimes recorded by police,crimestatistics @ons.gsi.gov.uk,John Flatley,+44 (0)20 7592 8695
bulletin_37, /peoplepopulationandcommunity /housing /bulletins /housepricestatisticsforsmallareas /yearendingdec1995toyearendingdec2015,bulletin,House price statistics for small areas,"House price statistics for a range of geographies in England and Wales, on a quarterly rolling year basis. The smallest areas covered by the statistics are middle layer super output areas, and the statistics are also available for a range of larger geographies. Statistics are reported for different types of house including newly built and existing stock, all house types combined, detached, semi-detached, terraced houses and flats/maisonettes.","Statistics on house prices for all property sales along with a breakdown of these sales by dwelling type (detached, semi-detached, terraced and flats/maisonettes) and newly built or existing dwellings.",better.info @ons.gsi.gov.uk  ,Nigel Henretty ,+44 (0)1329 447934 
bulletin_38, /economy /inflationandpriceindices /bulletins /housepriceindex /may2016,bulletin,House Price Index," Monthly house price inflation, calculated using data from Land Registry, Registers of Scotland and Land and Property Services Northern Ireland.",Mix-adjusted average house prices and house price indices for the UK and its component countries and regions.,hpi@ons.gsi.gov.uk ,Rhys Lewis,+44 (0)1633 456400
bulletin_39, /peoplepopulationandcommunity /culturalidentity /sexuality /bulletins /integratedhouseholdsurvey /latest,bulletin,Integrated Household Survey (Experimental statistics),"Sexual identity, smoking prevalence and perceived general health using data from the Integrated Household Survey.","Sexual identity, smoking prevalence and perceived general health using data from the Integrated Household Survey.",socialsurveys @ons.gsi.gov.uk,Tim Vizard,+44 (0)1633 455278
bulletin_40, /economy /inflationandpriceindices /bulletins /indexofprivatehousingrentalprices /june2016,bulletin,"Index of private housing rental prices (IPHRP) in Great Britain, results",An experimental price index tracking the prices paid for renting property from private landlords in Great Britain.,An experimental price index tracking the prices paid for renting property from private landlords in Great Britain.,hpi@ons.gsi.gov.uk,Rhys Lewis,+44 (0)1633 456400
bulletin_41, /peoplepopulationandcommunity /housing /bulletins /2011censusnumberofpeoplewithsecondaddressesinlocalauthoritiesinenglandandwales /latest,bulletin,2011 Census,We take a look at the number of usual residents in England and Wales who reported having a second address outside of the local authority in which they were usually resident.,We take a look at the number of usual residents in England and Wales who reported having a second address outside of the local authority in which they were usually resident.,census.customerservices @ons.gsi.gov.uk,Peter Stokes,+44 (0)1329 444972
bulletin_42, /peoplepopulationandcommunity /leisureandtourism /bulletins /overseastravelandtourism /may2016,bulletin,Overseas travel and tourism,"Visits to the UK by overseas residents, visits abroad by UK residents, and spending by travellers, using provisional passenger traffic data.",Monthly estimates of completed international visits to and from the UK and earnings and expenditure associated with these visits.,socialsurveys @ons.gsi.gov.uk,Giles Horsfield,+44 (0)1633 455731
bulletin_43, /peoplepopulationandcommunity /wellbeing /bulletins /measuringnationalwellbeing /2015to2016,bulletin,Personal well-being in the UK,"Personal well-being findings from the Annual Population Survey (APS), with analysis by country, region and individual characteristics.","Personal Well-being findings from the Annual Population Survey, with analysis by country, region and local areas and individual characteristics.",QualityOfLife @ons.gsi.gov.uk,Matthew Steel,+44 (0)1633 455680
bulletin_44, /peoplepopulationandcommunity /personalandhouseholdfinances /incomeandwealth /bulletins /economicwellbeing /quarter1jantomar2016,bulletin,Economic Well-being,Presents indicators that adjust or supplement more traditional measures such as GDP to give a more rounded and comprehensive basis for assessing changes in economic well-being.,Indicators that adjust or supplement more traditional measures such as GDP to give a more rounded and comprehensive basis for assessing changes in economic well-being.,economic.wellbeing @ons.gsi.gov.uk,Dominic Webber,+44 (0)1633 45 6246
bulletin_45, /economy /environmentalaccounts /bulletins /ukenvironmentalaccounts /latest,bulletin,UK environmental accounts,"Satellite accounts to the main UK National Accounts measuring the contribution of the environment to the economy, the impact of economic activity on the environment, and society's response to environmental issues.","Measures the contribution of the environment to the economy, the impacts the economy has on the environment, and society's responses to environmental issues.",geeta.kerai @ons.gsi.gov.uk,Geeta Kerai,+44 (0)1633 651815
bulletin_46, /businessindustryandtrade /business /activitysizeandlocation /bulletins /ukbusinessactivitysizeandlocation /latest,bulletin,"UK Business: Activity, size and location","Business enterprises analysed by legal form, industry, region and employment size band. ","Business enterprises analysed by legal form, industry, region and employment size band.",idbrdas@ons.gsi.gov.uk,Karen Watkins,+44 (0)1633 456902
bulletin_47, /businessindustryandtrade /business /activitysizeandlocation /bulletins /businessdemography /latest,bulletin,Business Demography,Change in the number of UK businesses broken down by sector of the economy.,"Births, deaths and survivals of UK enterprises. Active businesses are also shown, so that birth and death rates can be calculated. We break the figures down by sector.",idbrdas@ons.gsi.gov.uk,Karen Watkins,+44 (0)1633 456902
bulletin_48, /economy /governmentpublicsectorandtaxes /researchanddevelopmentexpenditure /bulletins /businessenterpriseresearchanddevelopment /latest,bulletin,Business Enterprise Research and Development,"Spending and numbers employed on research and development in the UK broken down by product sector, and civil and defence businesses.","Estimates of R&D expenditure and employment in UK businesses. We include breakdowns by product sector, and by civil and defence businesses.",RandD@ons.gsi.gov.uk,Cecil Prescott,+44 (0)1633 456767
bulletin_49, /businessindustryandtrade /business /businessservices /bulletins /uknonfinancialbusinesseconomy /2014regionalresultsannualbusinesssurvey,bulletin,UK non-financial business economy,Size and growth of the UK non-financial sectors within the 12 NUTS 1 regions of the UK as estimated by the Annual Business Survey. ,Size and growth within the UK non-financial sectors as measured by the Annual Business Survey. ,abs@ons.gsi.gov.uk,Jon Gough ,+44 (0)1633 456720 
bulletin_50, /businessindustryandtrade /business /businessservices /bulletins /uknonfinancialbusinesseconomyannualbusinesssurvey /latest,bulletin,UK Non-Financial Business Economy (Annual Business Survey),Size and growth within the UK non-financial sectors as measured by the Annual Business Survey.,"Size and growth of the UK Non-Financial Business Economy and its NUTS 1 regions in 2013, based on local activity of businesses. A key resource for regional business structure and performance.",abs@ons.gsi.gov.uk,Jon Gough,Telephone: +44 (0)1633 456720
bulletin_51, /businessindustryandtrade /itandinternetindustry /bulletins /ecommerceandictactivity /latest,bulletin,E-Commerce and ICT Activity,The value of e-commerce sales and the level of use by UK businesses of information and communication technologies.,The value of e-commerce sales and the level of use by UK businesses of information and communication technologies.,ecommerce@ons.gsi.gov.uk,Cecil Prescott,+44 (0)1633 456767
bulletin_52, /businessindustryandtrade /business /activitysizeandlocation /bulletins /businessdemography /latest,bulletin,Business Demography,Change in the number of UK businesses broken down by sector of the economy.,"Births, deaths and survivals of UK enterprises. Active businesses are also shown, so that birth and death rates can be calculated. We break the figures down by sector.",idbrdas@ons.gsi.gov.uk,Karen Watkins,+44 (0)1633 456902
bulletin_53, /businessindustryandtrade /changestobusiness /mergersandacquisitions /bulletins /mergersandacquisitionsinvolvingukcompanies /jantomar2016,bulletin,Mergers and Acquisitions involving UK companies,Transactions which result in a change of ultimate control of the target company and have a value of £1 million or more.,"Estimates of the value and numbers of mergers, acquisitions and disposals involving UK companies with values of £1.0 million or more.",michael.hardie @ons.gsi.gov.uk,Michael Hardie,+44 (0) 1633 455923 
bulletin_54, /economy /grossdomesticproductgdp /bulletins /grossdomesticproductpreliminaryestimate /aprtojune2016,bulletin,"Gross domestic product, preliminary estimate",Preliminary estimate for gross domestic product (GDP) containing constant price gross value added (GVA) data for the UK. Data are available by industrial sector.,"The first estimate of quarterly GDP based on less data but produced earlier, providing a timely indicator of economic growth.",ios.enquiries @ons.gsi.gov.uk,Robert Smith,+44 (0)1633 651618
bulletin_55, /businessindustryandtrade /retailindustry /bulletins /retailsales /june2016,bulletin,Retail sales in Great Britain,"Changes in the volume and value of sales of goods by retail businesses in Great Britain, providing a timely indicator of economic performance and the strength of consumer spending.","Retail sales is a monthly estimate of the quantity bought and amount spent in the retail industry, covering 95% of all known turnover in Great Britain.",retail.sales.enquiries @ons.gsi.gov.uk,Melanie Richard ,+44 (0)1633 455602
bulletin_56, /economy /economicoutputandproductivity /output /bulletins /indexofservices /may2016,bulletin,Index of Services,"Monthly movements in gross value added for the service industries, which overall account for around 79% of UK gross domestic product (GDP)","Monthly movements in gross value added for the service industries, which overall account for around 78% of UK gross domestic product (GDP)",ios.enquiries @ons.gsi.gov.uk ,Robert S Smith,+44 (0)1633 651618
bulletin_57, /businessindustryandtrade /constructionindustry /bulletins /outputintheconstructionindustry /acomparisonofconstructionoutputandmarketcipsdata,bulletin,Output in the Construction Industry,"A short-term measure of output by the private sector and public corporations in the construction industry in Great Britain, including quartely data.","A short-term measure of output by the private sector and public corporations n the construction industry in Great Britain, including quartely data.",kate.davies @ons.gsi.gov.uk,Kate Davies,+44 (0)1633 455617
bulletin_58, /economy /economicoutputandproductivity /output /bulletins /indexofproduction /may2016,bulletin,UK index of production,"Measures the volume of production at base year prices for the manufacturing, mining & quarrying, energy supply and water & waste management industries.","Volume of production at base year prices for the manufacturing, mining and quarrying and energy supply industries.",indexofproduction @ons.gsi.gov.uk,Alaa Al-Hamad,+44 (0) 1633 455648
bulletin_59, /businessindustryandtrade /business /businessservices /bulletins /uknonfinancialbusinesseconomy /2014regionalresultsannualbusinesssurvey,bulletin,UK non-financial business economy,Size and growth of the UK non-financial sectors within the 12 NUTS 1 regions of the UK as estimated by the Annual Business Survey. ,Size and growth within the UK non-financial sectors as measured by the Annual Business Survey. ,abs@ons.gsi.gov.uk,Jon Gough ,+44 (0)1633 456720 
bulletin_60, /employmentandlabourmarket /peopleinwork /labourproductivity /bulletins /labourproductivity /jantomar2016,bulletin,Labour Productivity,"Output per hour, output per job and output per worker for the whole economy and a range of industries. Includes estimates of unit labour costs.","Output per hour, output per job and output per worker for the whole economy and a range of industries. Includes estimates of unit labour costs.",productivity @ons.gsi.gov.uk,Ciaren Taylor,+44 (0)1633 455619
bulletin_61, /economy /economicoutputandproductivity /productivitymeasures /bulletins /internationalcomparisonsofproductivityfinalestimates /latest,bulletin,International Comparisons of Productivity - Final Estimates,"Labour productivity across the G7 nations in terms of GDP per hour worked and per worker, and growth in GDP per hour worked.","Labour productivity across the G7 nations in terms of GDP per hour worked and per worker, and growth in GDP per hour worked.",productivity @ons.gsi.gov.uk,Nicholas Chapman,+44 (0)1633 455372
bulletin_62, /economy /governmentpublicsectorandtaxes /publicsectorfinance /bulletins /publicsectorfinances /june2016,bulletin,Public sector finances,"UK Public Sector current budget, net borrowing, net cash requirement and net debt.","Indicators of UK government fiscal performance: Public Sector Current Budget Deficit (PSCB), Net Borrowing (PSNB), Net Debt (PSND) and PSND as a percentage of GDP.",fraser.munro @ons.gsi.gov.uk,Fraser Munro,+44 (0)1633 456402
bulletin_63, /economy /governmentpublicsectorandtaxes /publicspending /bulletins /eugovernmentdeficitanddebtreturnincludingmaastrichtsupplementarydatatables /quarter3julytosep2015,bulletin,EU Government Deficit and Debt Return including Maastricht Supplementary Data Tables,"The full set of UK government finance statistics supplied under the Maastricht Treaty, including details of the components of government debt and deficit and supplemantary data. ","UK general government deficit and gross debt figures expressed as proportion of GDP as well as Â£s, with supporting information and commentary",psa@ons.gsi.gov.uk,Fraser Munro & Jane Keogh-Bennett,+44 (0)1633 456402
bulletin_64, /economy /governmentpublicsectorandtaxes /publicsectorfinance /bulletins /eugovernmentdeficitanddebtreturn /latest,bulletin,EU Government Deficit and Debt Return,The UK's report to the European Commission under the Maastricht Treaty showing the actual and planned deficit (net borrowing) and gross debt (all financial liabilities) of central and local government.,Estimates of government deficit and debt data submitted biannually to the European Commission in line with the Maastricht Treaty.,rob pennington @ons.gsi.gov.uk,Rob Pennington,+44 (0)1633 456659
bulletin_65, /economy /governmentpublicsectorandtaxes /publicspending /bulletins /eugovernmentdeficitanddebtreturnincludingmaastrichtsupplementarydatatables /quarter3julytosep2015,bulletin,EU Government Deficit and Debt Return including Maastricht Supplementary Data Tables,"The full set of UK government finance statistics supplied under the Maastricht Treaty, including details of the components of government debt and deficit and supplemantary data. ","UK general government deficit and gross debt figures expressed as proportion of GDP as well as Â£s, with supporting information and commentary",psa@ons.gsi.gov.uk,Fraser Munro & Jane Keogh-Bennett,+44 (0)1633 456402
bulletin_66, /economy /governmentpublicsectorandtaxes /researchanddevelopmentexpenditure /bulletins /ukgrossdomesticexpenditureonresearchanddevelopment /latest,bulletin,UK Gross domestic expenditure on research and development,"Estimates of R&D in Business Enterprise, Higher Education, Government, which includes Research Councils, and Private Non-Profit organisations.","Estimates of R&D in Business Enterprise, Higher Education, Government, which includes Research Councils, and Private Non-Profit organisations.",RandD@ons.gsi.gov.uk,Cecil Prescott,+44 (0)1633 456767
bulletin_67, /economy /governmentpublicsectorandtaxes /researchanddevelopmentexpenditure /bulletins /businessenterpriseresearchanddevelopment /latest,bulletin,Business Enterprise Research and Development,"Spending and numbers employed on research and development in the UK broken down by product sector, and civil and defence businesses.","Estimates of R&D expenditure and employment in UK businesses. We include breakdowns by product sector, and by civil and defence businesses.",RandD@ons.gsi.gov.uk,Cecil Prescott,+44 (0)1633 456767
bulletin_68, /economy /governmentpublicsectorandtaxes /researchanddevelopmentexpenditure /bulletins /ukgovernmentexpenditureonscienceengineeringandtechnology /latest,bulletin,"UK government expenditure on science, engineering and technology","Science, engineering and technology (SET) expenditure by the UK government includes expenditure by government departments, Research Councils and Higher Education Funding Councils (HEFCs). It also includes the indicative UK contributions to the EU’s research and development expenditure.","Spending on science, engineering and technology (SET) activities in the UK at current and constant prices analysed by government sector, and the indicative contribution that the UK makes to EU research and development expenditure.",RandD@ons.gsi.gov.uk,Cecil Prescott,+44 (0)1633 456767
bulletin_69, /peoplepopulationandcommunity /personalandhouseholdfinances /incomeandwealth /bulletins /theeffectsoftaxesandbenefitsonhouseholdincome /financialyearending2015,bulletin,The effects of taxes and benefits on household income,"The redistribution effects on households of direct and indirect taxation and benefits received in cash or kind analysed by household type, and the changing levels of income inequality over time.","The redistribution effects on households of direct and indirect taxation and benefits received in cash or kind analysed by household type, and the changing levels of income inequality over time. ",hie@ons.gsi.gov.uk,Paola Serafino,+44 (0) 1633 651538
